127.0.0.1 - - [16/Nov/2023:09:17:47 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:00 +0900] "GET /controller/ HTTP/1.1" 200 31098
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:00 +0900] "GET /controller/resources/css/slide.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:00 +0900] "GET /controller/resources/img/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:00 +0900] "GET /controller/resources/img/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:00 +0900] "GET /controller/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:00 +0900] "GET /controller/resources/img/banner2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:00 +0900] "GET /controller/resources/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:05 +0900] "GET /controller/login/in HTTP/1.1" 200 6817
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:05 +0900] "GET /controller/resources/img/left.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:05 +0900] "GET /controller/resources/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:05 +0900] "GET /controller/resources/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:05 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:24 +0900] "GET /controller/login/in HTTP/1.1" 200 6817
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:24 +0900] "GET /controller/resources/img/left.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:30 +0900] "POST /controller/login/loginProcess HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:30 +0900] "GET /controller/ HTTP/1.1" 200 32855
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:30 +0900] "GET /controller/img/image.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:30 +0900] "GET /controller/img/glyph-undefined.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:30 +0900] "GET /controller/resources/css/slide.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:30 +0900] "GET /controller/blog/blogCheck?id=admin HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:36 +0900] "GET /controller/editphoto HTTP/1.1" 200 36925
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:36 +0900] "GET /controller/img/image.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:36 +0900] "GET /controller/img/line-21.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:36 +0900] "GET /controller/img/glyph-undefined-3.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:36 +0900] "GET /controller/img/glyph-undefined.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:36 +0900] "GET /controller/resources/editor/upload.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:36 +0900] "GET /controller/resources/editor/prev.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:36 +0900] "GET /controller/resources/editor/next.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:36 +0900] "GET /controller/resources/editor/reset.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:36 +0900] "GET /controller/resources/editor/delete.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:36 +0900] "GET /controller/resources/editor/stack-forward.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:36 +0900] "GET /controller/resources/editor/stack-backward.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:36 +0900] "GET /controller/resources/editor/pencil.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:36 +0900] "GET /controller/resources/editor/txt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:18:36 +0900] "GET /controller/resources/editor/eraser.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:21:58 +0900] "GET /controller// HTTP/1.1" 200 32855
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:21:58 +0900] "GET /controller//img/image.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:21:58 +0900] "GET /controller//img/glyph-undefined.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:21:58 +0900] "GET /controller/resources/css/slide.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:21:58 +0900] "GET /controller/blog/blogCheck?id=admin HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:22:22 +0900] "GET /controller//story HTTP/1.1" 200 25430
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:22:22 +0900] "GET /controller//img/glyph-undefined.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Nov/2023:09:22:22 +0900] "GET /controller//img/image.svg HTTP/1.1" 404 721
