127.0.0.1 - - [22/Nov/2023:09:21:23 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:24 +0900] "GET /controller/ HTTP/1.1" 200 16803
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:24 +0900] "GET /controller/resources/css/slide.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:24 +0900] "GET /controller/resources/img/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:24 +0900] "GET /controller/resources/img/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:24 +0900] "GET /controller/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:24 +0900] "GET /controller/resources/img/banner2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:24 +0900] "GET /controller/board/best_board HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:24 +0900] "GET /controller/resources/content/image_1700199776998.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:24 +0900] "GET /controller/resources/content/image_1700196883044.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:24 +0900] "GET /controller/resources/content/image_1700202683648.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:24 +0900] "GET /controller/resources/content/image_1700451803316.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:24 +0900] "GET /controller/resources/content/image_1700205536722.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:24 +0900] "GET /controller/resources/content/image_1700532022623.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:40 +0900] "GET /controller/login/in HTTP/1.1" 200 6170
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:40 +0900] "GET /controller/resources/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:40 +0900] "GET /controller/resources/css/login.css HTTP/1.1" 200 6812
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:40 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:46 +0900] "POST /controller/login/loginProcess HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:46 +0900] "GET /controller/ HTTP/1.1" 200 18730
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:46 +0900] "GET /controller/resources/css/slide.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:46 +0900] "GET /controller/resources/upload/00%20(73).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:46 +0900] "GET /controller/board/best_board HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:46 +0900] "GET /controller/blogCheck?id=admin1 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:46 +0900] "GET /controller/resources/content/image_1700451803316.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:46 +0900] "GET /controller/resources/content/image_1700196883044.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:46 +0900] "GET /controller/resources/content/image_1700205536722.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2023:09:21:46 +0900] "GET /controller/resources/content/image_1700202683648.png HTTP/1.1" 404 721
