127.0.0.1 - - [20/Nov/2023:09:13:01 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:02 +0900] "GET /controller/ HTTP/1.1" 200 31098
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:02 +0900] "GET /controller/resources/css/slide.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:02 +0900] "GET /controller/resources/img/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:02 +0900] "GET /controller/resources/img/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:02 +0900] "GET /controller/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:02 +0900] "GET /controller/resources/img/banner2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:02 +0900] "GET /controller/resources/img/portfolio/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:02 +0900] "GET /controller/resources/img/portfolio/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:02 +0900] "GET /controller/resources/img/portfolio/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:02 +0900] "GET /controller/resources/img/portfolio/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:02 +0900] "GET /controller/resources/img/portfolio/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:02 +0900] "GET /controller/resources/img/portfolio/6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:02 +0900] "GET /controller/resources/img/close-icon.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:02 +0900] "GET /controller/resources/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:34 +0900] "GET /controller/login/in HTTP/1.1" 200 6817
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:34 +0900] "GET /controller/resources/img/left.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:34 +0900] "GET /controller/resources/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:34 +0900] "GET /controller/resources/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:34 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:39 +0900] "POST /controller/login/loginProcess HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:39 +0900] "GET /controller/ HTTP/1.1" 200 32855
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:39 +0900] "GET /controller/resources/css/slide.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:39 +0900] "GET /controller/img/image.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:39 +0900] "GET /controller/img/glyph-undefined.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:39 +0900] "GET /controller/blog/blogCheck?id=admin HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:44 +0900] "GET /controller/editphoto HTTP/1.1" 200 47498
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:44 +0900] "GET /controller/img/line-21.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:44 +0900] "GET /controller/img/glyph-undefined.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:44 +0900] "GET /controller/img/glyph-undefined-3.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:44 +0900] "GET /controller/resources/editor/upload.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:44 +0900] "GET /controller/resources/editor/prev.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:44 +0900] "GET /controller/resources/editor/next.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:44 +0900] "GET /controller/resources/editor/reset.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:44 +0900] "GET /controller/resources/editor/delete.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:44 +0900] "GET /controller/resources/editor/stack-forward.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:44 +0900] "GET /controller/resources/editor/stack-backward.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:44 +0900] "GET /controller/resources/editor/pencil.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:44 +0900] "GET /controller/resources/editor/txt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:44 +0900] "GET /controller/resources/editor/eraser.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:13:45 +0900] "GET /controller/img/glyph-undefined-3.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:14:37 +0900] "POST /controller/sticker/sticker_temp_upload HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:14:41 +0900] "GET /controller/sticker/get_sticker_temp_title HTTP/1.1" 200 473095
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:14:45 +0900] "GET /controller/sticker/get_sticker_temp_content/18 HTTP/1.1" 200 4316
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:14:46 +0900] "GET /controller/sticker/get_sticker_temp_title HTTP/1.1" 200 473095
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:14:48 +0900] "GET /controller/sticker/get_sticker_temp_content/19 HTTP/1.1" 200 32708
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:33:16 +0900] "GET /controller// HTTP/1.1" 200 31098
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:33:16 +0900] "GET /controller/resources/css/slide.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:33:18 +0900] "GET /controller/login/in HTTP/1.1" 200 6817
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:33:18 +0900] "GET /controller/resources/img/left.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:33:22 +0900] "POST /controller/login/loginProcess HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:33:22 +0900] "GET /controller/ HTTP/1.1" 200 32855
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:33:22 +0900] "GET /controller/resources/css/slide.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:33:22 +0900] "GET /controller/img/image.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:33:22 +0900] "GET /controller/img/glyph-undefined.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:33:23 +0900] "GET /controller/blog/blogCheck?id=admin HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:33:27 +0900] "GET /controller/editphoto HTTP/1.1" 200 47524
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:33:27 +0900] "GET /controller/img/glyph-undefined.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:33:27 +0900] "GET /controller/img/line-21.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:33:27 +0900] "GET /controller/img/glyph-undefined-3.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:33:28 +0900] "GET /controller/img/glyph-undefined-3.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:33:35 +0900] "POST /controller/sticker/sticker_temp_upload HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:33:45 +0900] "GET /controller/sticker/get_sticker_temp_title HTTP/1.1" 200 478241
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:33:48 +0900] "POST /controller/sticker/sticker_temp_upload HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:33:50 +0900] "GET /controller/sticker/get_sticker_temp_title HTTP/1.1" 200 484455
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:33:53 +0900] "GET /controller/sticker/get_sticker_temp_content/21 HTTP/1.1" 200 5534
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:33:56 +0900] "GET /controller/sticker/get_sticker_temp_title HTTP/1.1" 200 484455
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:33:58 +0900] "GET /controller/sticker/get_sticker_temp_content/18 HTTP/1.1" 200 4316
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:11 +0900] "GET /controller// HTTP/1.1" 200 32855
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:11 +0900] "GET /controller//img/glyph-undefined.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:11 +0900] "GET /controller//img/image.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:11 +0900] "GET /controller/resources/css/slide.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:11 +0900] "GET /controller/blog/blogCheck?id=admin HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:15 +0900] "GET /controller// HTTP/1.1" 200 32855
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:15 +0900] "GET /controller//img/image.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:15 +0900] "GET /controller/resources/css/slide.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:15 +0900] "GET /controller//img/glyph-undefined.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:15 +0900] "GET /controller/blog/blogCheck?id=admin HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:15 +0900] "GET /controller/resources/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:17 +0900] "GET /controller// HTTP/1.1" 200 32855
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:17 +0900] "GET /controller//img/glyph-undefined.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:17 +0900] "GET /controller//img/image.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:17 +0900] "GET /controller/resources/css/slide.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:17 +0900] "GET /controller/blog/blogCheck?id=admin HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:17 +0900] "GET /controller// HTTP/1.1" 200 32855
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:17 +0900] "GET /controller//img/glyph-undefined.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:17 +0900] "GET /controller//img/image.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:17 +0900] "GET /controller/resources/css/slide.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:17 +0900] "GET /controller/blog/blogCheck?id=admin HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:17 +0900] "GET /controller// HTTP/1.1" 200 32855
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:17 +0900] "GET /controller//img/glyph-undefined.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:17 +0900] "GET /controller/resources/css/slide.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:17 +0900] "GET /controller//img/image.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:17 +0900] "GET /controller/blog/blogCheck?id=admin HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:17 +0900] "GET /controller// HTTP/1.1" 200 32855
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:17 +0900] "GET /controller//img/glyph-undefined.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:17 +0900] "GET /controller/resources/css/slide.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:17 +0900] "GET /controller//img/image.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:36:18 +0900] "GET /controller/blog/blogCheck?id=admin HTTP/1.1" 404 721
