127.0.0.1 - - [17/Nov/2023:09:37:57 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [17/Nov/2023:09:37:58 +0900] "GET /controller/ HTTP/1.1" 200 31098
0:0:0:0:0:0:0:1 - - [17/Nov/2023:09:37:58 +0900] "GET /controller/resources/css/slide.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Nov/2023:09:37:58 +0900] "GET /controller/resources/img/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2023:09:37:58 +0900] "GET /controller/resources/img/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2023:09:37:58 +0900] "GET /controller/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2023:09:37:58 +0900] "GET /controller/resources/img/portfolio/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2023:09:37:58 +0900] "GET /controller/resources/img/banner2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2023:09:37:58 +0900] "GET /controller/resources/img/portfolio/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2023:09:37:58 +0900] "GET /controller/resources/img/portfolio/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2023:09:37:58 +0900] "GET /controller/resources/img/portfolio/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2023:09:37:58 +0900] "GET /controller/resources/img/close-icon.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2023:09:37:58 +0900] "GET /controller/resources/img/portfolio/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2023:09:37:58 +0900] "GET /controller/resources/img/portfolio/6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2023:09:37:58 +0900] "GET /controller/resources/js/scripts.js HTTP/1.1" 304 -
